2021-01-12 01:32:12 install libk5crypto3:amd64 <none> 1.17-3+deb10u1
2021-01-12 01:32:12 status half-installed libk5crypto3:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 status unpacked libk5crypto3:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 install libkrb5-3:amd64 <none> 1.17-3+deb10u1
2021-01-12 01:32:12 status half-installed libkrb5-3:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 status unpacked libkrb5-3:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 install libgssapi-krb5-2:amd64 <none> 1.17-3+deb10u1
2021-01-12 01:32:12 status half-installed libgssapi-krb5-2:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 status unpacked libgssapi-krb5-2:amd64 1.17-3+deb10u1
2021-01-12 01:32:12 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-01-12 01:32:12 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2021-01-12 01:32:12 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2021-01-12 01:32:12 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-01-12 01:32:12 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-01-12 01:32:12 install libpsl5:amd64 <none> 0.20.2-2
2021-01-12 01:32:12 status half-installed libpsl5:amd64 0.20.2-2
2021-01-12 01:32:12 status unpacked libpsl5:amd64 0.20.2-2
2021-01-12 01:32:12 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2021-01-12 01:32:12 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-01-12 01:32:12 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-01-12 01:32:12 install libssh2-1:amd64 <none> 1.8.0-2.1
2021-01-12 01:32:12 status half-installed libssh2-1:amd64 1.8.0-2.1
2021-01-12 01:32:12 status unpacked libssh2-1:amd64 1.8.0-2.1
2021-01-12 01:32:12 install libcurl4:amd64 <none> 7.64.0-4+deb10u1
2021-01-12 01:32:12 status half-installed libcurl4:amd64 7.64.0-4+deb10u1
2021-01-12 01:32:13 status unpacked libcurl4:amd64 7.64.0-4+deb10u1
2021-01-12 01:32:13 install curl:amd64 <none> 7.64.0-4+deb10u1
2021-01-12 01:32:13 status half-installed curl:amd64 7.64.0-4+deb10u1
2021-01-12 01:32:13 status unpacked curl:amd64 7.64.0-4+deb10u1
2021-01-12 01:32:13 install libdpkg-perl:all <none> 1.19.7
2021-01-12 01:32:13 status half-installed libdpkg-perl:all 1.19.7
2021-01-12 01:32:13 status unpacked libdpkg-perl:all 1.19.7
2021-01-12 01:32:13 install patch:amd64 <none> 2.7.6-3+deb10u1
2021-01-12 01:32:13 status half-installed patch:amd64 2.7.6-3+deb10u1
2021-01-12 01:32:13 status unpacked patch:amd64 2.7.6-3+deb10u1
2021-01-12 01:32:13 install make:amd64 <none> 4.2.1-1.2
2021-01-12 01:32:13 status half-installed make:amd64 4.2.1-1.2
2021-01-12 01:32:13 status unpacked make:amd64 4.2.1-1.2
2021-01-12 01:32:13 install dpkg-dev:all <none> 1.19.7
2021-01-12 01:32:13 status half-installed dpkg-dev:all 1.19.7
2021-01-12 01:32:13 status unpacked dpkg-dev:all 1.19.7
2021-01-12 01:32:13 install libcc1-0:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libcc1-0:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libcc1-0:amd64 8.3.0-6
2021-01-12 01:32:13 install libgomp1:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libgomp1:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libgomp1:amd64 8.3.0-6
2021-01-12 01:32:13 install libitm1:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libitm1:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libitm1:amd64 8.3.0-6
2021-01-12 01:32:13 install libatomic1:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libatomic1:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libatomic1:amd64 8.3.0-6
2021-01-12 01:32:13 install libasan5:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libasan5:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libasan5:amd64 8.3.0-6
2021-01-12 01:32:13 install liblsan0:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed liblsan0:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked liblsan0:amd64 8.3.0-6
2021-01-12 01:32:13 install libtsan0:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libtsan0:amd64 8.3.0-6
2021-01-12 01:32:13 status unpacked libtsan0:amd64 8.3.0-6
2021-01-12 01:32:13 install libubsan1:amd64 <none> 8.3.0-6
2021-01-12 01:32:13 status half-installed libubsan1:amd64 8.3.0-6
2021-01-12 01:32:14 status unpacked libubsan1:amd64 8.3.0-6
2021-01-12 01:32:14 install libmpx2:amd64 <none> 8.3.0-6
2021-01-12 01:32:14 status half-installed libmpx2:amd64 8.3.0-6
2021-01-12 01:32:14 status unpacked libmpx2:amd64 8.3.0-6
2021-01-12 01:32:14 install libquadmath0:amd64 <none> 8.3.0-6
2021-01-12 01:32:14 status half-installed libquadmath0:amd64 8.3.0-6
2021-01-12 01:32:14 status unpacked libquadmath0:amd64 8.3.0-6
2021-01-12 01:32:14 install libgcc-8-dev:amd64 <none> 8.3.0-6
2021-01-12 01:32:14 status half-installed libgcc-8-dev:amd64 8.3.0-6
2021-01-12 01:32:14 status unpacked libgcc-8-dev:amd64 8.3.0-6
2021-01-12 01:32:14 install gcc-8:amd64 <none> 8.3.0-6
2021-01-12 01:32:14 status half-installed gcc-8:amd64 8.3.0-6
2021-01-12 01:32:16 status unpacked gcc-8:amd64 8.3.0-6
2021-01-12 01:32:16 install gcc:amd64 <none> 4:8.3.0-1
2021-01-12 01:32:16 status half-installed gcc:amd64 4:8.3.0-1
2021-01-12 01:32:16 status unpacked gcc:amd64 4:8.3.0-1
2021-01-12 01:32:16 install libc-dev-bin:amd64 <none> 2.28-10
2021-01-12 01:32:16 status half-installed libc-dev-bin:amd64 2.28-10
2021-01-12 01:32:16 status unpacked libc-dev-bin:amd64 2.28-10
2021-01-12 01:32:16 install linux-libc-dev:amd64 <none> 4.19.160-2
2021-01-12 01:32:16 status half-installed linux-libc-dev:amd64 4.19.160-2
2021-01-12 01:32:16 status unpacked linux-libc-dev:amd64 4.19.160-2
2021-01-12 01:32:16 install libc6-dev:amd64 <none> 2.28-10
2021-01-12 01:32:16 status half-installed libc6-dev:amd64 2.28-10
2021-01-12 01:32:17 status unpacked libc6-dev:amd64 2.28-10
2021-01-12 01:32:17 install libstdc++-8-dev:amd64 <none> 8.3.0-6
2021-01-12 01:32:17 status half-installed libstdc++-8-dev:amd64 8.3.0-6
2021-01-12 01:32:17 status unpacked libstdc++-8-dev:amd64 8.3.0-6
2021-01-12 01:32:17 install g++-8:amd64 <none> 8.3.0-6
2021-01-12 01:32:17 status half-installed g++-8:amd64 8.3.0-6
2021-01-12 01:32:18 status unpacked g++-8:amd64 8.3.0-6
2021-01-12 01:32:18 install g++:amd64 <none> 4:8.3.0-1
2021-01-12 01:32:18 status half-installed g++:amd64 4:8.3.0-1
2021-01-12 01:32:18 status unpacked g++:amd64 4:8.3.0-1
2021-01-12 01:32:19 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2021-01-12 01:32:19 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-01-12 01:32:19 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-01-12 01:32:19 install pkg-config:amd64 <none> 0.29-6
2021-01-12 01:32:19 status half-installed pkg-config:amd64 0.29-6
2021-01-12 01:32:19 status unpacked pkg-config:amd64 0.29-6
2021-01-12 01:32:19 install re2c:amd64 <none> 1.1.1-1
2021-01-12 01:32:19 status half-installed re2c:amd64 1.1.1-1
2021-01-12 01:32:19 status unpacked re2c:amd64 1.1.1-1
2021-01-12 01:32:19 startup packages configure
2021-01-12 01:32:19 configure perl-modules-5.28:all 5.28.1-6+deb10u1 <none>
2021-01-12 01:32:19 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2021-01-12 01:32:19 status half-configured perl-modules-5.28:all 5.28.1-6+deb10u1
2021-01-12 01:32:19 status installed perl-modules-5.28:all 5.28.1-6+deb10u1
2021-01-12 01:32:19 configure libkeyutils1:amd64 1.6-6 <none>
